concurrency,prompt_class,n,ttfb_median_s,ttfb_p95_s,ttfb_p99_s,duration_median_s,duration_p95_s,req_bytes_median,resp_bytes_median,tokens_median,iti_median_ms,iti_p95_ms
1,short,150,0.0597,0.1097,0.1553,7.7494,10.6434,216.5000,1403.0000,390.0000,20.0136,21.4527
1,medium,150,0.2298,0.5463,0.7048,9.6946,11.5528,1166.0000,1540.5000,446.5000,20.8536,22.6675
1,long,91,0.6553,0.8709,0.9132,9.5707,11.8244,2949.0000,1742.0000,432.0000,21.1795,22.2342
8,short,150,0.0575,0.3281,0.4608,8.9070,11.6629,226.0000,1429.0000,392.0000,21.5401,23.2577
8,medium,149,0.2256,1.4396,1.6754,13.1861,14.9492,1020.0000,1565.0000,496.0000,23.3663,25.5669
8,long,95,1.1607,3.9339,4.3212,18.1797,23.9551,3010.0000,1748.0000,442.0000,25.4715,27.1118
32,short,150,0.6587,6.1422,10.0175,19.9740,30.2043,238.0000,1482.5000,416.5000,34.7894,69.7336
32,medium,149,20.8545,27.5953,28.8427,40.4799,49.2095,1057.0000,1591.0000,432.0000,26.6571,62.0556
32,long,87,55.7669,62.1442,65.3283,71.8223,82.3846,3075.0000,1838.0000,461.0000,25.2423,27.8237
64,short,150,2.6988,20.6300,24.3490,40.0423,56.9114,230.5000,1503.0000,389.5000,38.3054,134.2100
64,medium,150,54.3144,66.8109,71.5493,73.4218,90.1389,1080.5000,1589.0000,411.5000,27.7503,62.3872
64,long,85,85.5808,116.1559,117.6913,102.9244,136.7655,3009.0000,1603.0000,414.0000,24.7131,26.4517
